"",Reporting precincts,Total Precincts,Trump,Clinton,Johnson,Write-in,Stein,Castle,Vacek,McMullin,Kahn,De La Fuente,La Riva,winner
Adair,6,6,2456,1127,125,38,13,10,10,10,5,3,0,Trump
Adams,6,6,1393,565,93,22,9,13,1,6,1,1,0,Trump
Allamakee,8,12,1863,898,109,21,21,19,3,22,3,1,1
Appanoose,0,13,0,0,0,0,0,0,0,0,0,0,0
Audubon,0,3,0,0,0,0,0,0,0,0,0,0,0
Benton,11,20,3534,1764,233,62,34,26,7,29,4,1,1
Black Hawk,0,63,0,0,0,0,0,0,0,0,0,0,0
Boone,0,16,0,0,0,0,0,0,0,0,0,0,0
Bremer,0,14,0,0,0,0,0,0,0,0,0,0,0
Buchanan,16,16,5504,3966,478,105,54,58,9,48,17,2,1,Trump
Buena Vista,9,11,3068,1398,179,47,25,13,2,44,3,0,0
Butler,0,9,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,11,0,0,0,0,0,0,0,0,0,0,0
Carroll,9,14,3316,1174,160,28,29,22,4,31,6,1,0
Cass,10,14,2833,947,141,31,35,15,4,30,9,0,0
Cedar,12,13,3607,1999,264,76,47,19,9,25,6,1,0
Cerro Gordo,24,27,11069,9566,816,251,124,24,20,133,41,8,2
Cherokee,8,8,4188,1676,206,63,29,29,7,41,9,1,0,Trump
Chickasaw,0,14,0,0,0,0,0,0,0,0,0,0,0
Clarke,0,8,0,0,0,0,0,0,0,0,0,0,0
Clay,13,13,5870,2246,286,62,35,25,6,58,13,2,1,Trump
Clayton,10,15,3732,2475,237,50,35,14,19,35,21,3,1
Clinton,1,27,4101,5830,273,126,59,38,44,57,28,3,2
Crawford,1,9,1730,953,54,24,14,10,1,7,5,1,0
Dallas,0,35,0,0,0,0,0,0,0,0,0,0,0
Davis,9,9,2721,976,85,20,25,17,6,20,7,1,0,Trump
Decatur,8,8,2296,1201,123,31,29,26,1,20,5,1,1,Trump
Delaware,13,13,5688,2956,337,69,40,38,18,47,39,0,2,Trump
Des Moines,17,17,9479,8178,633,298,132,73,36,130,40,8,4,Trump
Dickinson,0,15,0,0,0,0,0,0,0,0,0,0,0
Dubuque,5,36,10241,14229,874,228,148,27,16,128,42,6,5
Emmet,12,12,3121,1356,138,41,26,20,13,16,16,0,1,Trump
Fayette,3,26,1924,1725,103,38,22,15,9,21,11,0,0
Floyd,9,9,4371,3177,241,69,60,43,8,63,16,3,3,Trump
Franklin,10,13,1585,647,109,21,21,9,2,20,1,1,0
Fremont,6,6,2401,959,115,31,21,15,10,19,9,3,2,Trump
Greene,8,8,2819,1688,160,54,31,20,9,29,4,1,1,Trump
Grundy,3,8,1472,570,84,35,11,13,5,24,8,1,0
Guthrie,8,9,2537,908,187,34,10,15,7,12,4,0,0
Hamilton,0,9,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,11,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,9,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,14,0,0,0,0,0,0,0,0,0,0,0
Henry,0,10,0,0,0,0,0,0,0,0,0,0,0
Howard,9,10,2296,1525,114,42,35,15,12,11,10,0,0
Humboldt,0,10,0,0,0,0,0,0,0,0,0,0,0
Ida,0,8,0,0,0,0,0,0,0,0,0,0,0
Iowa,12,12,5193,3070,315,85,61,68,9,54,13,6,0,Trump
Jackson,0,17,0,0,0,0,0,0,0,0,0,0,0
Jasper,21,21,10556,7108,715,253,95,90,76,91,39,4,2,Trump
Jefferson,8,13,2481,3373,194,112,231,12,4,18,5,0,2
Johnson,56,58,20497,49272,2679,935,861,128,123,697,67,18,33
Jones,7,15,2640,1363,148,49,27,20,13,22,6,1,0
Keokuk,6,16,1391,589,48,10,13,10,1,2,2,0,1
Kossuth,0,21,0,0,0,0,0,0,0,0,0,0,0
Lee,0,23,0,0,0,0,0,0,0,0,0,0,0
Linn,66,87,40289,52455,4698,1492,864,213,103,769,115,27,21
Louisa,3,6,2022,1090,88,36,19,19,2,31,3,1,3
Lucas,0,8,0,0,0,0,0,0,0,0,0,0,0
Lyon,9,9,5188,917,137,32,18,18,7,33,16,1,1,Trump
Madison,10,10,5336,2666,344,71,41,37,5,81,11,1,1,Trump
Mahaska,0,12,0,0,0,0,0,0,0,0,0,0,0
Marion,18,18,10940,5469,703,221,73,111,19,203,28,7,1,Trump
Marshall,5,20,1856,1352,154,51,32,15,6,29,5,0,1
Mills,11,12,2945,1065,181,35,40,17,5,49,4,2,0
Mitchell,12,12,3180,1879,209,34,28,16,10,24,13,1,0,Trump
Monona,6,12,1167,367,45,18,10,5,2,4,2,0,0
Monroe,0,8,0,0,0,0,0,0,0,0,0,0,0
Montgomery,8,8,3431,1312,152,39,38,21,5,27,8,1,3,Trump
Muscatine,23,24,9450,8228,734,211,180,85,60,136,41,3,6
O'Brien,0,10,0,0,0,0,0,0,0,0,0,0,0
Osceola,9,9,2528,552,73,13,10,10,0,20,3,0,1,Trump
Page,0,9,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,6,7,2629,1304,120,23,17,12,9,11,14,0,1
Plymouth,14,14,9659,2878,342,102,52,33,5,70,14,1,3,Trump
Pocahontas,0,8,0,0,0,0,0,0,0,0,0,0,0
Polk,0,178,0,0,0,0,0,0,0,0,0,0,0
Pottawattamie,0,41,0,0,0,0,0,0,0,0,0,0,0
Poweshiek,0,11,0,0,0,0,0,0,0,0,0,0,0
Ringgold,8,8,1820,753,72,19,8,15,2,7,5,2,0,Trump
Sac,10,10,3692,1269,129,42,23,17,4,15,8,1,0,Trump
Scott,0,64,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,10,0,0,0,0,0,0,0,0,0,0,0
Sioux,0,17,0,0,0,0,0,0,0,0,0,0,0
Story,0,44,0,0,0,0,0,0,0,0,0,0,0
Tama,0,17,0,0,0,0,0,0,0,0,0,0,0
Taylor,2,8,943,365,40,11,5,5,2,5,3,1,0
Union,0,9,0,0,0,0,0,0,0,0,0,0,0
Van Buren,9,9,2524,843,83,32,19,22,3,20,8,1,0,Trump
Wapello,5,23,3899,3408,139,64,43,19,20,21,13,2,1
Warren,30,32,13715,9751,1175,269,112,118,17,182,27,11,6
Washington,3,11,1134,722,107,28,14,7,3,31,1,1,0
Wayne,0,5,0,0,0,0,0,0,0,0,0,0,0
Webster,27,29,9601,6131,543,165,109,62,24,98,16,5,3
Winnebago,0,11,0,0,0,0,0,0,0,0,0,0,0
Winneshiek,0,12,0,0,0,0,0,0,0,0,0,0,0
Woodbury,0,45,0,0,0,0,0,0,0,0,0,0,0
Worth,2,8,1155,821,77,9,14,10,2,17,3,0,0
Wright,11,11,3790,1890,175,60,35,19,6,25,6,1,2,Trump
