GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2013 Land Res,2013 Land Comm,2013 Total Land,2013 Dwlg,2013 Improv,2013 Total
113447600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,18.13,,,,,,,,,0,0,0,0,0,0
113447601000000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.5875,,,,,,,,,0,0,0,0,0,0
113447601900000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.3769,,,,,,,,,0,0,0,0,0,0
113535200300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,21.03,,,,,,,,,0,0,0,0,0,0
113542800200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,13.73,,,,,,,,,0,0,0,0,0,0
123610201200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.3594,,,,,,,,,0,0,0,0,0,0
123640300700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.5,,,,,,,,,0,0,0,0,0,0
131147600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,109.52,,,,,,,,,0,0,0,0,0,0
131327600100000,SEMINOLE PARK,EXEMPT,CITY PROPERTY,5925,SEMINOLE VALLEY TR NE,CEDAR RAPIDS CITY OF,217.27,,,,,,,,,0,0,0,0,0,0
131345101000000,,EXEMPT,CITY PROPERTY,0,VACANT LOT NW,CEDAR RAPIDS CITY OF,0.4165,,,,,,,,,0,0,0,0,0,0
131410100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,80.26,,,,,,,,,0,0,0,0,0,0
131515200900000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,0,0
131522600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,5.62,,,,,,,,,0,0,0,0,0,0
131532600100000,,EXEMPT,CITY PROPERTY,7807,ELLIS RD NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
131542601200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.77,,,,,,,,,0,0,0,0,0,0
132247701500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.4,,,,,,,,,0,0,0,0,0,0
132410100500000,,EXEMPT,CITY PROPERTY,1610,EDGEWOOD RD NW,CEDAR RAPIDS CITY OF,0.3519,,,,,,,,,0,0,0,0,0,0
132415202400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2893,,,,,,,,,0,0,0,0,0,0
132415300200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.17,,,,,,,,,0,0,0,0,0,0
132415301500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,4.13,,,,,,,,,0,0,0,0,0,0
132425101100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
132425301700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.46,,,,,,,,,0,0,0,0,0,0
132432600700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,7.7,,,,,,,,,0,0,0,0,0,0
132438002700000,WATER TOWER/CITY,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.0165,,,,,,,,,0,0,0,0,0,0
132440200100000,,EXEMPT,CITY PROPERTY,1200,EDGEWOOD RD NW,CEDAR RAPIDS CITY OF,3.13,,,,,,,,,0,0,0,0,0,0
132440200300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.855,,,,,,,,,0,0,0,0,0,0
132440202400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.413,,,,,,,,,0,0,0,0,0,0
132515100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.585,,,,,,,,,0,0,0,0,0,0
132515100200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.281,,,,,,,,,0,0,0,0,0,0
132515100300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.422,,,,,,,,,0,0,0,0,0,0
132515200100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,10.53,,,,,,,,,0,0,0,0,0,0
132515300800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.298,,,,,,,,,0,0,0,0,0,0
132517600200000,,EXEMPT,CITY PROPERTY,3572,JOHNSON AVE NW,CEDAR RAPIDS CITY OF,4.0,,,,,,,,,0,0,0,0,0,0
132520401600000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.4624,,,,,,,,,0,0,0,0,0,0
132525301500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2254,,,,,,,,,0,0,0,0,0,0
132525301600000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,2.4929,,,,,,,,,0,0,0,0,0,0
132525800100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.71,,,,,,,,,0,0,0,0,0,0
132527601000000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.5676,,,,,,,,,0,0,0,0,0,0
132528400100000,,EXEMPT,CITY PROPERTY,4201,JUPITER AVE NW,CEDAR RAPIDS CITY OF,0.1688,,,,,,,,,0,0,0,0,0,0
132528400200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.5506,,,,,,,,,0,0,0,0,0,0
132528500100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.18,,,,,,,,,0,0,0,0,0,0
132528600600000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.17,,,,,,,,,0,0,0,0,0,0
132528700100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.27,,,,,,,,,0,0,0,0,0,0
132528700200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.83,,,,,,,,,0,0,0,0,0,0
132530300200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.05,,,,,,,,,0,0,0,0,0,0
132532700200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.16,,,,,,,,,0,0,0,0,0,0
132535100500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.91,,,,,,,,,0,0,0,0,0,0
132537700100000,,EXEMPT,CITY PROPERTY,100,WILEY BLVD SW,CEDAR RAPIDS CITY OF,1.0,,,,,,,,,0,0,0,0,0,0
132548000600000,VACANT LAND,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.988,,,,,,,,,0,0,0,0,0,0
132627600100000,,EXEMPT,CITY PROPERTY,341,STONEY POINT RD NW,CEDAR RAPIDS CITY OF,61.27,,,,,,,,,0,0,0,0,0,0
132632700300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,2.538,,,,,,,,,0,0,0,0,0,0
132642702200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,6.96,,,,,,,,,0,0,0,0,0,0
132710300100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.49,,,,,,,,,0,0,0,0,0,0
132710400700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.52,,,,,,,,,0,0,0,0,0,0
132712701800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
132725500200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.86,,,,,,,,,0,0,0,0,0,0
132725601800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,0,0
132740103500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.88,,,,,,,,,0,0,0,0,0,0
132742700100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.5254,,,,,,,,,0,0,0,0,0,0
133517600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,16.39,,,,,,,,,0,0,0,0,0,0
133525201200000,,EXEMPT,SW 408,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.4,,,,,,,,,0,0,0,0,0,0
133525202500000,,EXEMPT,SW 408,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.96,,,,,,,,,0,0,0,0,0,0
133525400900000,,EXEMPT,SW 408,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.23,,,,,,,,,0,0,0,0,0,0
140220201100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,6.64,,,,,,,,,0,0,0,0,0,0
140232600600000,,EXEMPT,CITY PROPERTY,4523,C AVE NE,CEDAR RAPIDS CITY OF,0.182,Single-Family,1 Story Frame,1956,1280.0,,,,,0,0,0,0,0,0
140232600700000,,EXEMPT,CITY PROPERTY,4519,C AVE NE,CEDAR RAPIDS CITY OF,0.182,Single-Family,Split Level Frame,1954,1120.0,,,,,0,0,0,0,0,0
140237600500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
140240200500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
140320400100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.33,,,,,,,,,0,0,0,0,0,0
140330100200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.81,,,,,,,,,0,0,0,0,0,0
140332600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,99.0,,,,,,,,,0,0,0,0,0,0
140340401300000,,EXEMPT,CITY PROPERTY,4524,C AVE NE,CEDAR RAPIDS CITY OF,0.321,Single-Family,1 Story Frame,1956,1216.0,,,,,0,0,0,0,0,0
140340401400000,,EXEMPT,CITY PROPERTY,4530,C AVE NE,CEDAR RAPIDS CITY OF,0.364,Single-Family,1 Story Frame,1956,1578.0,,,,,0,0,0,0,0,0
140417600500000,PT PAVING/PT VACANT,COMMERCIAL,FLAT PARKING,5131,COUNCIL ST NE,CEDAR RAPIDS CITY OF,2.66,,,,,,,,,0,629100,629100,0,10362,639462
140425100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.77,,,,,,,,,0,0,0,0,0,0
140425200100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,19.95,,,,,,,,,0,0,0,0,0,0
140430101200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.8,,,,,,,,,0,0,0,0,0,0
140430101400000,,EXEMPT,CITY PROPERTY,,0 VACANT LAND NE,CEDAR RAPIDS CITY OF,0.08,,,,,,,,,0,0,0,0,0,0
140437600500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.05,,,,,,,,,0,0,0,0,0,0
140445800900000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.2,,,,,,,,,0,0,0,0,0,0
140447800800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.03,,,,,,,,,0,0,0,0,0,0
140447801000000,,EXEMPT,CITY PROPERTY,4424,RUSHMORE DR NE,CEDAR RAPIDS CITY OF,0.217,,,,,,,,,0,0,0,0,0,0
140447802800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.095,,,,,,,,,0,0,0,0,0,0
140535100100000,FIRE STN & GOLF COURSE,EXEMPT,CITY PROPERTY,3600,42ND ST NE,CEDAR RAPIDS CITY OF,148.14,,,,,,,,,0,0,0,0,0,0
140540200100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,8.48,,,,,,,,,0,0,0,0,0,0
140547601400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.9,,,,,,,,,0,0,0,0,0,0
140627600300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,8.08,,,,,,,,,0,0,0,0,0,0
140737600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,23.0,,,,,,,,,0,0,0,0,0,0
140745100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,46.0,,,,,,,,,0,0,0,0,0,0
140818001300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.4,,,,,,,,,0,0,0,0,0,0
140822602400000,INFORMATION TECHNLGY,EXEMPT,CITY PROPERTY,3601,42ND ST NE,CEDAR RAPIDS CITY OF,0.95,,,,,Office - General,1977,7018-01-01,,0,0,0,0,0,0
140832602700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,19.51,,,,,,,,,0,0,0,0,0,0
140837600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,24.91,,,,,,,,,0,0,0,0,0,0
140930201600000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,3.86,,,,,,,,,0,0,0,0,0,0
140945200100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.84,,,,,,,,,0,0,0,0,0,0
141015900800000,,EXEMPT,CITY PROPERTY,900,35TH ST NE,CEDAR RAPIDS CITY OF,1.72,,,,,,,,,0,0,0,0,0,0
141127603200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,3.27,,,,,,,,,0,0,0,0,0,0
141130500600000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.3391,,,,,,,,,0,0,0,0,0,0
141130500700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.35,,,,,,,,,0,0,0,0,0,0
141130500800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.35,,,,,,,,,0,0,0,0,0,0
141135300300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.1,,,,,,,,,0,0,0,0,0,0
141135300500000,,EXEMPT,CITY PROPERTY,206,29TH ST NE,CEDAR RAPIDS CITY OF,0.38,,,,,,,,,0,0,0,0,0,0
141137600400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.231,,,,,,,,,0,0,0,0,0,0
141137600500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.296,,,,,,,,,0,0,0,0,0,0
141137600600000,,EXEMPT,CITY PROPERTY,3145,EMERALD AVE SE,CEDAR RAPIDS CITY OF,0.149,,,,,,,,,0,0,0,0,0,0
141138001700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.065,,,,,,,,,0,0,0,0,0,0
141138001800000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,2.954,,,,,,,,,0,0,0,0,0,0
141145700700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.657,,,,,,,,,0,0,0,0,0,0
141332600900000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,14.15,,,,,,,,,0,0,0,0,0,0
141337602000000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,4.98,,,,,,,,,0,0,0,0,0,0
141337602100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0
141345400100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,4.94,,,,,,,,,0,0,0,0,0,0
141420100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,2.826,,,,,,,,,0,0,0,0,0,0
141420100200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.292,,,,,,,,,0,0,0,0,0,0
141445100300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,8.89,,,,,,,,,0,0,0,0,0,0
141445200100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,2.84,,,,,,,,,0,0,0,0,0,0
141445200400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.28,,,,,,,,,0,0,0,0,0,0
141447800400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,6.62,,,,,,,,,0,0,0,0,0,0
141515102100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.2268,,,,,,,,,0,0,0,0,0,0
141515102500000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.2727,,,,,,,,,0,0,0,0,0,0
141530101100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.85,,,,,,,,,0,0,0,0,0,0
141536100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.6061,,,,,,,,,0,0,0,0,0,0
141615200100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,14.1,,,,,,,,,0,0,0,0,0,0
141625100200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,45.99,,,,,,,,,0,0,0,0,0,0
141630100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.8687,,,,,,,,,0,0,0,0,0,0
141630100400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.45,,,,,,,,,0,0,0,0,0,0
141632600100000,,EXEMPT,CITY PROPERTY,1111,SHAVER RD NE,CEDAR RAPIDS CITY OF,17.66,,,,,,,,,0,0,0,0,0,0
141632600400000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,4.5,,,,,,,,,0,0,0,0,0,0
141632600700000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.13,,,,,,,,,0,0,0,0,0,0
141635100200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.02,,,,,,,,,0,0,0,0,0,0
141637700100000,,EXEMPT,CITY PROPERTY,855,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.6741,,,,,,,,,0,0,0,0,0,0
141640100100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,25.67,,,,,,,,,0,0,0,0,0,0
141645900100000,,EXEMPT,CITY PROPERTY,791,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.172,,,,,,,,,0,0,0,0,0,0
141645900200000,,EXEMPT,CITY PROPERTY,793,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.069,,,,,,,,,0,0,0,0,0,0
141645900300000,,EXEMPT,CITY PROPERTY,795,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.114,,,,,,,,,0,0,0,0,0,0
141645900400000,,EXEMPT,CITY PROPERTY,799,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.119,,,,,,,,,0,0,0,0,0,0
141645900500000,,EXEMPT,CITY PROPERTY,801,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.125,,,,,,,,,0,0,0,0,0,0
141645900700000,,EXEMPT,CITY PROPERTY,813,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.1607,,,,,Shop,1964,1516-01-01,,0,0,0,0,0,0
141645900800000,,EXEMPT,CITY PROPERTY,821,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.374,,,,,,,,,0,0,0,0,0,0
141645900900000,,EXEMPT,CITY PROPERTY,825,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.282,,,,,,,,,0,0,0,0,0,0
141645901300000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.126,,,,,,,,,0,0,0,0,0,0
141715300100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,29.73,,,,,,,,,0,0,0,0,0,0
141717800200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,6.5,,,,,,,,,0,0,0,0,0,0
141720300100000,,EXEMPT,CITY PROPERTY,100,J AVE NE,CEDAR RAPIDS CITY OF,2.5,,,,,,,,,0,0,0,0,0,0
141722600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,15.0,,,,,,,,,0,0,0,0,0,0
141725100400000,,EXEMPT,CITY PROPERTY,2510,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.467,,,,,,,,,0,0,0,0,0,0
141725100500000,,EXEMPT,CITY PROPERTY,2335,16TH ST NW,CEDAR RAPIDS CITY OF,0.397,,,,,,,,,0,0,0,0,0,0
141725101200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,6.41,,,,,,,,,0,0,0,0,0,0
141725200100000,,EXEMPT,CITY PROPERTY,2514,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.429,,,,,,,,,0,0,0,0,0,0
141725200200000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,13.91,,,,,,,,,0,0,0,0,0,0
141727600200000,,EXEMPT,CITY PROPERTY,2400,ELLIS BLVD NW,CEDAR RAPIDS CITY OF,0.249,,,,,,,,,0,0,0,0,0,0
141730100100000,,EXEMPT,CITY PROPERTY,1876,ELLIS LN NW,CEDAR RAPIDS CITY OF,156.68,,,,,,,,,0,0,0,0,0,0
141732600100000,,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,22.2,,,,,,,,,0,0,0,0,0,0
